class,line,callee,type,label
BenchmarkTest01516,52,Connection.prepareStatement,sqli,truepositive
BenchmarkTest09680,54,Statement.execute,sqli,falsepositive
BenchmarkTest05246,59,Connection.prepareCall,sqli,falsepositive
BenchmarkTest03480,54,XPath.compile,xpathi,truepositive
BenchmarkTest13454,50,Statement.execute,sqli,truepositive
BenchmarkTest05950,59,XPath.compile,xpathi,truepositive
BenchmarkTest17955,52,DirContext.search,ldapi,falsepositive
BenchmarkTest15924,54,Connection.prepareStatement,sqli,truepositive
BenchmarkTest08833,67,Runtime.exec,cmdi,truepositive
BenchmarkTest11755,49,InitialDirContext.search,ldapi,falsepositive
BenchmarkTest18785,62,ProcessBuilder.command,cmdi,truepositive
BenchmarkTest01263,73,ProcessBuilder,cmdi,truepositive
BenchmarkTest06363,67,Runtime.exec,cmdi,truepositive
BenchmarkTest16568,54,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest03277,65,Runtime.exec,cmdi,truepositive
BenchmarkTest04101,58,Statement.executeUpdate,sqli,truepositive
BenchmarkTest19924,48,InitialDirContext.search,ldapi,truepositive
BenchmarkTest09494,67,Runtime.exec,cmdi,falsepositive
BenchmarkTest15986,53,XPath.evaluate,xpathi,truepositive
BenchmarkTest12399,53,InitialDirContext.search,ldapi,truepositive
BenchmarkTest08377,50,Connection.prepareStatement,sqli,truepositive
BenchmarkTest19699,54,Connection.prepareStatement,sqli,truepositive
BenchmarkTest02633,83,Runtime.exec,cmdi,falsepositive
BenchmarkTest08602,52,InitialDirContext.search,ldapi,truepositive
BenchmarkTest12855,54,Statement.executeUpdate,sqli,truepositive
BenchmarkTest07716,68,Connection.prepareCall,sqli,truepositive
BenchmarkTest02177,57,Statement.execute,sqli,truepositive
BenchmarkTest05747,71,Runtime.exec,cmdi,truepositive
BenchmarkTest15969,54,Statement.executeQuery,sqli,falsepositive
BenchmarkTest00850,76,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest11507,54,Connection.prepareStatement,sqli,truepositive
BenchmarkTest10869,55,Connection.prepareStatement,sqli,truepositive
BenchmarkTest02616,58,Runtime.exec,cmdi,truepositive
BenchmarkTest18284,67,Runtime.exec,cmdi,truepositive
BenchmarkTest14554,81,Runtime.exec,cmdi,truepositive
BenchmarkTest17184,50,Connection.prepareCall,sqli,truepositive
BenchmarkTest11023,52,DirContext.search,ldapi,truepositive
BenchmarkTest08129,60,ProcessBuilder.command,cmdi,truepositive
BenchmarkTest09516,67,Runtime.exec,cmdi,falsepositive
BenchmarkTest14098,51,Statement.execute,sqli,falsepositive
BenchmarkTest13268,63,Runtime.exec,cmdi,truepositive
BenchmarkTest07733,68,Connection.prepareStatement,sqli,truepositive
BenchmarkTest15941,54,Statement.execute,sqli,truepositive
BenchmarkTest12771,54,Connection.prepareCall,sqli,truepositive
BenchmarkTest17206,50,Connection.prepareStatement,sqli,truepositive
BenchmarkTest12872,53,XPath.compile,xpathi,truepositive
BenchmarkTest09477,55,Runtime.exec,cmdi,truepositive
BenchmarkTest01494,71,Connection.prepareStatement,sqli,truepositive
BenchmarkTest15170,62,Runtime.exec,cmdi,truepositive
BenchmarkTest02864,63,XPath.evaluate,xpathi,truepositive
BenchmarkTest17871,55,Statement.executeUpdate,sqli,truepositive
BenchmarkTest13437,50,Connection.prepareStatement,sqli,truepositive
BenchmarkTest04129,69,XPath.evaluate,xpathi,truepositive
BenchmarkTest04878,52,InitialDirContext.search,ldapi,truepositive
BenchmarkTest08816,56,Runtime.exec,cmdi,truepositive
BenchmarkTest09015,54,Statement.addBatch,sqli,falsepositive
BenchmarkTest14036,51,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest18869,53,Runtime.exec,cmdi,truepositive
BenchmarkTest15907,54,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest15153,63,Runtime.exec,cmdi,falsepositive
BenchmarkTest17938,53,DirContext.search,ldapi,truepositive
BenchmarkTest19738,54,Statement.executeUpdate,sqli,truepositive
BenchmarkTest02802,62,Statement.execute,sqli,falsepositive
BenchmarkTest01246,67,ProcessBuilder.command,cmdi,truepositive
BenchmarkTest00878,78,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest14070,51,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest04062,58,Connection.prepareStatement,sqli,truepositive
BenchmarkTest11524,54,Connection.prepareStatement,sqli,truepositive
BenchmarkTest17668,68,Runtime.exec,cmdi,falsepositive
BenchmarkTest07795,68,Statement.executeUpdate,sqli,falsepositive
BenchmarkTest02132,62,Connection.prepareCall,sqli,truepositive
BenchmarkTest16540,54,Connection.prepareCall,sqli,truepositive
BenchmarkTest10925,55,Statement.execute,sqli,falsepositive
BenchmarkTest20359,50,Statement.execute,sqli,truepositive
BenchmarkTest19671,54,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest15524,52,InitialDirContext.search,ldapi,truepositive
BenchmarkTest02847,59,Statement.executeUpdate,sqli,truepositive
BenchmarkTest04647,64,Connection.prepareStatement,sqli,truepositive
BenchmarkTest05995,70,DirContext.search,ldapi,truepositive
BenchmarkTest13808,61,ProcessBuilder.command,cmdi,falsepositive
BenchmarkTest09077,53,XPath.compile,xpathi,truepositive
BenchmarkTest16585,54,Statement.execute,sqli,truepositive
BenchmarkTest12641,56,Runtime.exec,cmdi,truepositive
BenchmarkTest14571,81,Runtime.exec,cmdi,falsepositive
BenchmarkTest12810,54,Statement.addBatch,sqli,truepositive
BenchmarkTest15299,50,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest01995,57,Runtime.exec,cmdi,truepositive
BenchmarkTest07750,68,Connection.prepareStatement,sqli,truepositive
BenchmarkTest20213,52,Runtime.exec,cmdi,truepositive
BenchmarkTest09781,49,DirContext.search,ldapi,falsepositive
BenchmarkTest15423,53,DirContext.search,ldapi,truepositive
BenchmarkTest02194,64,Statement.executeQuery,sqli,falsepositive
BenchmarkTest10886,55,Connection.prepareStatement,sqli,truepositive
BenchmarkTest00917,89,Statement.executeUpdate,sqli,falsepositive
BenchmarkTest18470,54,Statement.execute,sqli,falsepositive
BenchmarkTest20962,51,Connection.prepareStatement,sqli,falsepositive
BenchmarkTest10306,50,Statement.executeUpdate,sqli,truepositive
BenchmarkTest17268,49,XPath.evaluate,xpathi,falsepositive
BenchmarkTest00748,78,Runtime.exec,cmdi,falsepositive
BenchmarkTest11569,54,Statement.executeUpdate,sqli,truepositive
BenchmarkTest03001,51,InitialDirContext.search,ldapi,truepositive
BenchmarkTest19052,51,Connection.prepareStatement,sqli,truepositive
BenchmarkTest14740,68,Statement.execute,sqli,falsepositive
BenchmarkTest20089,59,ProcessBuilder,cmdi,truepositive
BenchmarkTest13499,49,XPath.compile,xpathi,truepositive
BenchmarkTest17584,63,ProcessBuilder,cmdi,falsepositive
BenchmarkTest14723,68,Statement.addBatch,sqli,falsepositive
BenchmarkTest19755,54,Statement.executeUpdate,sqli,truepositive
BenchmarkTest19553,66,Runtime.exec,cmdi,truepositive
BenchmarkTest10739,57,Runtime.exec,cmdi,truepositive
BenchmarkTest18886,64,Runtime.exec,cmdi,truepositive
BenchmarkTest15136,52,Runtime.exec,cmdi,falsepositive
BenchmarkTest04546,64,Runtime.exec,cmdi,falsepositive
BenchmarkTest10284,50,Statement.executeUpdate,sqli,falsepositive
BenchmarkTest12207,51,Statement.execute,sqli,truepositive
BenchmarkTest19119,50,XPath.evaluate,xpathi,truepositive
BenchmarkTest11406,56,Runtime.exec,cmdi,falsepositive
BenchmarkTest08231,51,Runtime.exec,cmdi,truepositive
BenchmarkTest16939,58,ProcessBuilder,cmdi,truepositive
